,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
казанский,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
приволжский,0.00042,0.0,0.00079,0.00116,0.00198,0.00672,0.00193,0.00148,0.0011,0.00117,0.00047,0.0011,0.00115,0.00108,0.00232,0.00091,0.00236,0.00913,0.00224,0.00209,0.00093,0.00071,0.00103,0.00126,0.0,0.00119,0.003,0.00116,0.00117,0.00079,0.00056,0.00054,0.0,0.00125,0.0,0.0,0.00091,0.0031,0.001,0.00109,0.0009,0.00111,0.00098,0.00106,0.0011,0.00146,0.00105,0.0012,0.00169,0.0022,0.00113,0.00146,0.0,0.0,0.0,0.0,0.0,0.00043,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039,0.0,0.0,0.0,0.0,0.0007,0.0,0.00037,0.0,0.0067,0.0,0.0,0.0,0.0,0.00039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.00028,0.0,0.0
федеральный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
университет,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
официальный,0.00132,0.0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172,0.00544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00315,0.0,0.0,0.0,0.0,0.0,0.00161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00154,0.0,0.0,0.0,0.00174,0.00178,0.00154,0.00152,0.0,0.00082,0.0,0.0,0.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.0,0.00357,0.0,0.0
сайт,1e-05,4e-05,3e-05,4e-05,2e-05,2e-05,2e-05,1e-05,2e-05,3e-05,1e-05,3e-05,3e-05,1e-05,1e-05,2e-05,2e-05,2e-05,1e-05,2e-05,2e-05,1e-05,2e-05,2e-05,4e-05,2e-05,3e-05,4e-05,4e-05,1e-05,1e-05,1e-05,3e-05,2e-05,4e-05,0.0,2e-05,3e-05,3e-05,2e-05,2e-05,2e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,5e-05,3e-05,2e-05,2e-05,2e-05,1e-05,2e-05,3e-05,0.0,3e-05,8e-05,7e-05,6e-05,7e-05,3e-05,9e-05,6e-05,7e-05,7e-05,6e-05,4e-05,7e-05,7e-05,7e-05,7e-05,5e-05,5e-05,6e-05,5e-05,1e-05,5e-05,5e-05,5e-05,5e-05,6e-05,7e-05,3e-05,5e-05,5e-05,5e-05,7e-05,7e-05,6e-05,5e-05,5e-05,6e-05,3e-05,5e-05,5e-05,6e-05,7e-05
год,0.00214,0.0,0.00045,0.00164,0.00112,0.00127,0.0063,0.00084,0.00125,0.00133,0.00227,0.00155,0.00227,0.00081,0.00075,0.00232,0.00161,0.00259,0.00091,0.00414,0.00105,0.00221,0.00117,0.00286,0.0,0.00135,0.00113,0.00164,0.00298,0.00135,0.00467,0.00184,0.00232,0.00494,0.0,0.00033,0.0031,0.00352,0.00169,0.00371,0.00359,0.00282,0.00249,0.00268,0.00156,0.0022,0.00208,0.00204,0.0032,0.00187,0.00607,0.0022,0.00108,0.00383,0.00208,0.00261,0.00064,0.00038,0.00028,0.0,0.0,0.00103,0.00124,0.00066,0.0,0.0,0.0,0.0,0.00022,0.00011,0.0,0.0,0.00024,0.0,0.00059,0.0002,0.00021,0.0,0.0,0.00168,0.0,0.0,0.0,0.00177,0.0,0.0,0.00164,0.0,0.0,0.0,0.0,0.00046,0.0,0.0,0.0,0.00066,0.0,0.00208,0.0,0.00075
цифровизация,0.00508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00295,0.0,0.0,0.0,0.0,0.0,0.00295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
личный,3e-05,0.0,1e-05,3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0.0,1e-05,1e-05,3e-05,1e-05,1e-05,0.0,1e-05,1e-05,2e-05,0.0,0.0,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0.0,1e-05,1e-05,0.0,3e-05,2e-05,2e-05,1e-05,2e-05,3e-05,1e-05,1e-05,2e-05,2e-05,1e-05,1e-05,2e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,1e-05,3e-05,2e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,2e-05
кабинет,2e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,2e-05,1e-05,0.0,0.0,1e-05,2e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,0.0,1e-05,2e-05,2e-05,1e-05,2e-05,2e-05,1e-05,1e-05,2e-05,2e-05,1e-05,1e-05,2e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,1e-05,3e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
почта,0.00038,0.0,0.0,0.00158,0.00045,0.00041,0.00044,0.00034,0.0005,0.0016,0.00022,0.0005,0.00052,0.00065,0.0003,0.00041,0.00043,0.00042,0.00029,0.00047,0.00042,0.00032,0.00047,0.00058,0.0,0.00054,0.00045,0.00158,0.00053,0.00036,0.00017,0.0,0.00046,0.00057,0.0,0.0,0.00042,0.00056,0.00091,0.0005,0.00041,0.0005,0.00044,0.00048,0.0005,0.00044,0.00047,0.00055,0.00051,0.0005,0.00051,0.00044,0.00044,0.00032,0.00024,0.00038,0.00051,0.00017,0.00177,0.0,0.0,0.0,0.0,0.00071,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026,0.0,0.00026,0.00034,0.0
сотрудник,4e-05,1e-05,0.0001,2e-05,2e-05,2e-05,2e-05,3e-05,2e-05,3e-05,1e-05,3e-05,3e-05,1e-05,1e-05,2e-05,2e-05,2e-05,1e-05,2e-05,2e-05,3e-05,3e-05,2e-05,1e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,2e-05,1e-05,3e-05,1e-05,0.0,4e-05,3e-05,3e-05,3e-05,2e-05,2e-05,3e-05,5e-05,5e-05,2e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,0.0,1e-05,1e-05,3e-05,2e-05,4e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,2e-05,2e-05,1e-05,1e-05,2e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,2e-05
учиться,0.00122,0.00026,0.0,0.00056,0.00096,0.00043,0.00094,0.00107,0.00161,0.00057,0.00023,0.00053,0.00056,0.00035,0.00064,0.00044,0.00046,0.00044,0.00093,0.00101,0.00045,0.00034,0.0005,0.00061,0.00026,0.00058,0.00048,0.00056,0.00057,0.00039,0.00109,0.00052,0.0,0.00061,0.00026,0.00503,0.00044,0.0012,0.00048,0.00053,0.00088,0.00053,0.00095,0.00051,0.00107,0.00047,0.00102,0.00058,0.00055,0.00214,0.00055,0.00047,0.00047,0.00069,0.0,0.0004,0.0,0.0,0.00094,0.0,0.0,0.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00219,0.00108,0.0
институт,0.00457,0.00013,0.0,0.00518,0.00883,0.00778,0.00432,0.00991,0.01425,0.00611,0.0027,0.00543,0.00512,0.00819,0.0092,0.00406,0.00422,0.00408,0.00843,0.00467,0.00647,0.00388,0.00486,0.00564,0.00013,0.00534,0.00446,0.00518,0.0055,0.0136,0.00976,0.00161,0.00076,0.00588,0.00013,0.0,0.00724,0.0077,0.0116,0.01027,0.00764,0.00878,0.00558,0.00758,0.012,0.00844,0.00884,0.00566,0.00784,0.00983,0.00504,0.00844,0.00024,0.00318,0.00143,0.00062,0.01567,0.00018,0.0,0.0,0.0,0.00036,0.00043,0.00048,0.00042,0.00039,0.0,0.0,0.0,0.00029,0.0,0.0,0.0,0.0,0.00051,0.0,0.0,0.0,0.00953,0.00221,0.00262,0.00262,0.00583,0.00039,0.0,0.00168,0.00244,0.00245,0.00486,0.0,0.0,0.0,0.00031,0.0,0.0,0.0,0.00031,0.0,0.0,0.0
русый,0.00282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eng,0.00282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tat,0.00332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
