,0
казанский,0.0
приволжский,0.56212
федеральный,0.0
университет,0.0
официальный,1.83258
сайт,0.01005
год,0.3285
культурный,0.71335
наследие,0.75502
народ,2.12026
россия,0.46204
личный,0.01005
кабинет,0.01005
почта,0.52763
сотрудник,0.0202
учиться,0.57982
институт,0.27444
русый,3.91202
eng,3.91202
tat,4.60517
中文,0.01005
es,4.60517
fr,4.60517
de,4.60517
запись,2.12026
на,0.0
вакцинация,2.81341
от,0.35667
covid,2.12026
горячий,0.79851
линия,0.79851
для,0.0
российский,0.61619
студент,0.0
обучаться,0.59784
за,0.44629
рубеж,0.61619
и,0.0
иностранный,0.06188
кфу,0.0
сведение,1.89712
о,0.0202
образовательный,0.06188
организация,0.03046
цифра,0.69315
факт,0.67334
ректор,0.01005
абитуриент,0.01005
школьник,0.56212
родитель,1.96611
школа,0.08338
университетский,0.75502
клиника,0.73397
работник,0.01005
работодатель,0.01005
выпускник,0.01005
сми,0.65393
музей,0.01005
библиотека,0.59784
блог,3.50656
структура,0.67334
документ,0.04082
безопасность,0.51083
история,0.43078
программа,0.03046
развитие,0.47804
отчёт,0.77653
интернетприёмный,0.79851
достижение,0.07257
закупка,0.77653
карта,0.08338
весь,0.52763
объект,0.69315
телефонный,0.03046
справочник,0.03046
корпоративный,0.71335
центр,0.65393
компетенция,0.77653
раскрытие,0.79851
информация,0.04082
минюст,0.77653
рассмотрение,0.11653
обращение,0.73397
гражданин,0.07257
национальный,0.65393
проект,0.56212
образование,0.0202
основной,0.67334
подразделение,0.67334
филиал,0.61619
нормативноправовой,0.77653
обеспечение,0.52763
деятельность,0.44629
электронный,0.52763
обучение,0.0202
контингент,0.77653
вакантный,0.75502
место,0.01005
стипендия,0.03046
расписание,0.11653
журнал,0.77653
успеваемость,0.75502
практика,0.61619
вакансия,0.71335
стажировка,0.61619
дополнительный,0.06188
довузовский,0.77653
физика,0.37106
геология,0.43078
юный,0.73397
геолог,0.77653
международный,0.28768
олимпиада,0.10536
ассоциация,0.77653
глобальный,0.75502
магистратура,0.10536
наука,0.28768
инновация,0.57982
приоритетный,0.75502
направлениясай,4.60517
инновационный,0.65393
область,0.54473
научный,0.0
исследование,0.61619
тематический,0.75502
план,0.09431
нир,0.79851
коллективный,0.71335
пользование,0.73397
графика,3.91202
проведение,0.37106
семинар,1.96611
научноисследовательский,0.73397
работа,0.34249
нирс,0.79851
издание,2.52573
молодой,0.67334
учёный,0.65393
специалист,0.56212
аспирантура,0.12783
докторантура,0.79851
отдел,0.07257
аттестация,0.71335
научнопедагогический,0.71335
кадр,0.65393
интеллектуальный,0.67334
собственность,0.77653
патентнолицензионный,0.79851
экспортный,0.79851
контроль,0.67334
управление,0.40048
конференция,0.10536
целевой,0.12783
конкурс,0.07257
грант,0.73397
новость,0.19845
полигон,0.77653
карбон,0.79851
поволжье,0.73397
технология,0.30111
здравоохранение,0.69315
мера,0.69315
по,0.0
предупреждение,0.79851
коронавирус,0.79851
высокий,0.26136
медицина,0.47804
биология,0.41552
ординатура,0.12783
научноклинический,0.79851
прецизионный,0.79851
регенеративный,0.79851
профилактический,0.75502
симуляционный,0.79851
аккредитационный,0.79851
экспериментальный,0.75502
стоматологический,0.79851
фантомный,0.79851
класс,0.11653
инжиниринговый,0.79851
медицинский,0.05129
симулятор,0.79851
департамент,0.67334
внешний,0.69315
связь,0.03046
сотрудничество,0.73397
приглашение,0.79851
поступление,0.63488
в,0.0
миграционный,0.75502
сопровождение,0.69315
признание,0.77653
адаптация,0.71335
общество,0.69315
дистанционный,0.11653
календарь,0.71335
событие,0.09431
имнилобачевский,0.79851
общественный,0.61619
представитель,0.63488
социальный,0.47804
инфраструктура,0.77653
дирекция,0.79851
социальноспортивный,0.79851
оздоровление,0.77653
полезный,0.61619
ссылка,0.73397
локальный,0.75502
этический,0.79851
комитет,0.73397
родный,0.71335
язык,0.35667
народный,0.71335
единство,0.79851
главный,0.65393
новый,0.82098
выпуск,2.40795
мой,2.52573
будущее,2.12026
настоящий,1.7148
посвятить,1.96611
нтв,3.91202
формат,2.04022
тревелшоу,3.91202
рассказывать,3.91202
крупный,1.89712
вуз,1.30933
помогать,2.65926
улучшить,3.50656
свойство,2.65926
имплантат,3.50656
хирургия,2.81341
стоматология,1.83258
собрать,2.52573
более,1.13943
кг,3.50656
гуманитарный,2.12026
помощь,1.51413
беженец,3.50656
из,0.57982
лднр,3.50656
присоединиться,2.99573
к,0.08338
всемирный,2.40795
день,0.26136
здоровье,0.57982
пройти,1.20397
мероприятие,0.46204
космонавтика,3.50656
показать,2.99573
ещё,2.30259
лента,3.91202
форум,2.30259
сильный,3.50656
идея,2.65926
время,1.34707
лето,3.21888
снежный,3.50656
десант,3.50656
готовиться,3.50656
очередной,2.52573
экспедиция,3.21888
ио,3.50656
дмитрий,3.21888
таюрский,3.21888
провести,2.12026
заседание,1.89712
совет,1.51413
получить,1.13943
академия,2.30259
рт,0.51083
создать,1.7148
цифровой,1.27297
помощник,3.21888
выбор,3.21888
профессия,2.40795
всё,0.8675
анонс,3.50656
приоритет,2.99573
цифровизация,3.50656
univer,0.63488
tv,0.61619
прямой,3.21888
эфир,3.50656
стандарт,2.40795
учебный,0.21072
направление,0.07257
молодёжный,1.83258
политика,1.60944
объединение,1.89712
творчество,1.83258
спорт,0.59784
здоровый,2.40795
образ,1.96611
жизнь,1.07881
общежитие,0.54473
профком,2.30259
карьера,0.61619
психологический,1.7148
трансформация,2.81341
